Name,Location,Price,Monthly Payment,Milage (KM),Ownership,Transmission
2019 Mercedes-AMG G-Class G63 Edition 1,"Benoni Industrial, Benoni",R 3 799 999,R            72 329     p/m,2 400 km,Used Car,Automatic
2014 Ferrari 458 Spider,"Morningside, Sandton",R 3 799 995,R            72 329     p/m,23 000 km,Used Car,Automatic
2022 Land Rover Range Rover Sport SVR Carbon Edition,"Morningside, Sandton",R 3 799 995,R            72 329     p/m,100 km,Used Car,Automatic
2021 Mercedes-AMG GLS GLS63 4Matic+,"Constantia Kloof, Roodepoort",R 3 799 950,R            72 329     p/m,1 950 km,Used Car,Automatic
2019 Porsche 911 GT3 RS,"Paulshof, Sandton",R 3 795 000,R            72 234     p/m,6 800 km,Used Car,Automatic
2020 Porsche Taycan Turbo S,"Paulshof, Sandton",R 3 795 000,R            72 234     p/m,4 300 km,Used Car,Automatic
2022 Toyota Land Cruiser 300 3.5T ZX,"Sandown, Sandton",R 3 790 000,R            72 139     p/m,1 000 km,Used Car,Automatic
2022 BMW X5 M50d,"Sandown, Sandton",R 3 750 000,R            71 378     p/m,2 000 km,Used Car,Automatic
1990 Ferrari Testarossa Testarossa,"Needwood, Randburg",R 3 699 999,R            70 426     p/m,33 500 km,Used Car,Manual
2018 BMW 3 Series 318i M Sport auto,,R 369 000,R            7 024     p/m,94 000 km,Used Car,Automatic
